Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,createMusic,1673,0,88,81.89464748592863,1.7651669986662455,2625.4636779995053,470.0,27.727089441585512,0.0,88,96,99,100,110,110,130,880,2400,2600,2600
POST,createPlaylist,1626,0,170.0,134.40100169797947,2.1018879997427575,2712.988444000075,398.73247232472323,26.948145506286938,0.0,170,180,190,190,200,210,220,940,2500,2700,2700
POST,createUser,1669,0,89,82.13265466137273,1.7065169959096238,2646.3853549939813,415.0,27.660796340709037,0.0,89,96,99,100,110,110,130,900,2400,2600,2600
POST,deleteMusic,1662,0,90,90.62426943436604,1.7146969985333271,3051.788466000289,301.0,27.544783414175207,0.0,90,97,100,100,110,110,180,990,3000,3100,3100
POST,deletePlaylist,1626,0,90,91.85451038506847,1.704241003608331,3034.6627540056943,313.0,26.948145506286938,0.0,90,97,100,100,110,120,220,990,3000,3000,3000
POST,deleteUser,1633,0,91,90.71709730271776,1.7257539948332123,3039.005917002214,297.0,27.06415843282077,0.0,91,97,100,100,110,110,190,910,3000,3000,3000
POST,getMusic,13045,0,96,87.90745798608448,1.2177099997643381,2680.2839299998595,469.8840935224224,216.19837523340288,0.0,96,100,100,100,110,110,120,120,1000,2500,2700
POST,getPlaylist,13033,0,96,88.15965257588128,1.2596919987117872,2696.9357170019066,383.5664083480396,215.99949593077346,0.0,96,100,100,100,110,110,120,120,1000,2600,2700
POST,getUser,13024,0,96,88.26853147770377,1.215468997543212,2540.397493998171,383.7300368550369,215.8503364538014,0.0,96,100,100,100,110,110,120,120,1000,2500,2500
POST,listMusics,12979,0,96,88.28629256962813,1.3816200007568114,2689.7882479970576,10621.0,215.10453906894105,0.0,96,100,100,100,110,110,120,120,1000,2500,2700
POST,listPlaylists,13011,0,96,88.32355613752748,1.3870210023014806,2709.692416996404,6132.0,215.63488387595285,0.0,96,100,100,100,110,110,120,120,1000,2500,2700
POST,listUsers,12974,0,96,88.50600705274094,1.3510849967133254,2629.1112740000244,6578.0,215.02167269284547,0.0,96,100,100,100,110,110,120,120,1000,2500,2600
POST,updateMusic,12986,0,96,88.55565996752696,1.778379999450408,2491.4998969979933,481.85030032342524,215.2205519954749,0.0,96,100,100,100,110,110,120,120,1000,2500,2500
POST,updatePlaylist,12942,0,96,88.57865106281122,1.7671550012892112,2734.8042110024835,395.5635914078195,214.49132788583367,0.0,96,100,100,100,110,110,120,120,1000,2600,2700
POST,updateUser,12982,0,96,88.81432515266265,1.7861369997262955,2745.2802109983168,395.75966723155136,215.1542588945984,0.0,96,100,100,100,110,110,120,120,1000,2600,2700
,Aggregated,126865,0,96,88.90367592973269,1.215468997543212,3051.788466000289,2674.0130926575494,2102.5685606734883,0.0,96,100,100,100,110,110,120,160,1400,2800,3100
