Method,Name,Error,Occurrences
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2745""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T19:00:13.155403308-03:00"", grpc_status:5, grpc_message:""music 2745""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1395""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T19:00:21.053191609-03:00"", grpc_status:5, grpc_message:""music 1395""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2890""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 2890"", grpc_status:5, created_time:""2026-06-08T19:00:48.141040211-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3434""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 3434"", grpc_status:5, created_time:""2026-06-08T18:59:59.027610388-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1596""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 1596"", grpc_status:5, created_time:""2026-06-08T19:00:28.393542427-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 2334""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 2334"", grpc_status:5, created_time:""2026-06-08T19:00:34.213267512-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3189""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 3189"", grpc_status:5, created_time:""2026-06-08T19:00:42.706433405-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1252""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T19:00:03.817375281-03:00"", grpc_status:5, grpc_message:""music 1252""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 1397""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T19:00:23.693387563-03:00"", grpc_status:5, grpc_message:""music 1397""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music 3730""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music 3730"", grpc_status:5, created_time:""2026-06-08T19:00:21.383446307-03:00""}""
>",1
