Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/streaming.StreamingService/CreateMusic,1387,0,660.0,614.5675235457772,3.957517999879201,1349.3541400000595,43.004325883201155,23.43791815031283,0.0,660,720,760,800,910,1000,1100,1200,1300,1300,1300
grpc,/streaming.StreamingService/CreatePlaylist,1406,0,660.0,613.5649644957317,4.586020000033386,1439.246846999822,22.199857752489333,23.75898552223492,0.0,660,730,770,800,900,970,1000,1200,1400,1400,1400
grpc,/streaming.StreamingService/CreateUser,1387,0,650.0,612.6447234657553,3.2139050001660507,1351.9224040001063,64.49819754866618,23.43791815031283,0.0,650,720,760,790,880,960,1000,1100,1300,1400,1400
grpc,/streaming.StreamingService/DeleteMusic,1379,0,720.0,653.4570315300857,2.7957830000104877,1381.8129539999973,2.0,23.302731888450893,0.0,720,790,840,880,990,1100,1200,1300,1400,1400,1400
grpc,/streaming.StreamingService/DeletePlaylist,1398,0,690.0,639.9008716816871,2.946364000081303,1423.5313639999276,2.0,23.623799260372987,0.0,690,780,830,870,1000,1100,1200,1300,1400,1400,1400
grpc,/streaming.StreamingService/DeleteUser,1379,0,720.0,654.7752210224754,3.802861999929519,1406.177265999986,2.0,23.302731888450893,0.0,720,800,850,880,1000,1100,1200,1300,1400,1400,1400
grpc,/streaming.StreamingService/GetMusic,1284,0,640.0,622.4582824291276,2.363718999959019,1297.5384860001213,55.26791277258567,21.697395028840425,0.0,640,720,760,790,890,990,1100,1200,1300,1300,1300
grpc,/streaming.StreamingService/GetPlaylist,1287,0,640.0,620.1893982882656,3.6167969999496563,1320.61339400002,23.465423465423466,21.74808987703865,0.0,640,720,760,790,880,1000,1100,1200,1300,1300,1300
grpc,/streaming.StreamingService/GetUser,1292,0,650.0,618.2925400580518,2.3623330000646092,1271.9795549999162,46.11919504643963,21.83258129070236,0.0,650,720,760,790,880,1000,1100,1200,1300,1300,1300
grpc,/streaming.StreamingService/ListMusics,1289,0,650.0,621.181046599686,2.9889840000123513,1278.613451999945,2765.654771140419,21.781886442504135,0.0,650,720,760,780,890,990,1100,1200,1200,1300,1300
grpc,/streaming.StreamingService/ListPlaylists,1222,0,640.0,615.2489653486069,2.941440000086004,1286.0479299999952,1238.0,20.649701499410437,0.0,640,710,760,780,870,1000,1100,1200,1300,1300,1300
grpc,/streaming.StreamingService/ListUsers,1219,0,640.0,616.8819086858109,2.2593940000206203,1258.0213819999244,2406.0,20.59900665121221,0.0,640,710,760,790,880,1000,1100,1200,1200,1300,1300
grpc,/streaming.StreamingService/UpdateMusic,1212,0,640.0,621.2072752590702,6.4257569999881525,1243.8575109999874,45.976072607260726,20.480718672083018,0.0,640,720,760,790,890,990,1100,1200,1200,1200,1200
grpc,/streaming.StreamingService/UpdatePlaylist,1211,0,650.0,621.8975444426085,4.822674000024563,1263.9828750000106,23.46077621800165,20.46382038935028,0.0,650,720,760,790,890,980,1100,1200,1300,1300,1300
grpc,/streaming.StreamingService/UpdateUser,1215,0,640.0,621.0648022930052,3.6212050001722673,1301.57399299992,46.08395061728395,20.531413520281244,0.0,640,710,760,790,880,990,1100,1200,1300,1300,1300
,Aggregated,19567,0,660.0,624.7679308881775,2.2593940000206203,1439.246846999822,434.41437113507436,330.6486982315581,0.0,660,730,780,810,910,1000,1100,1200,1300,1400,1400
