Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/streaming.StreamingService/AddMusicToPlaylist,7383,0,230.0,216.08076439346866,2.1023749995947583,423.9308930000334,2.0,98.04449805553892,0.0,230,250,260,260,280,300,320,330,380,420,420
grpc,/streaming.StreamingService/CreatePlaylist,7416,0,200.0,191.72252288429743,1.6593029999967257,434.6768189998329,10.684061488673139,98.48273026952143,0.0,200,220,240,250,270,290,310,320,380,430,430
grpc,/streaming.StreamingService/CreateUser,14847,0,200.0,178.56208711652255,1.2927080001645663,415.4004040001382,55.0,197.164656999944,0.0,200,220,240,250,270,290,310,320,380,410,420
grpc,/streaming.StreamingService/GetUser,29198,0,200.0,177.89122395167402,0.92754099978265,437.366652000037,45.47136790191109,387.74255102609044,0.0,200,220,240,250,270,290,310,320,370,430,440
grpc,/streaming.StreamingService/ListMusics,36773,0,200.0,178.26413438664343,1.0614590000841417,441.2402520001706,3115.0,488.3367637811639,0.0,200,220,240,250,270,290,310,320,380,420,440
grpc,/streaming.StreamingService/ListPlaylistMusics,22036,0,200.0,178.29063171687218,1.2593869996635476,438.5426539997752,1030.5170176075512,292.6328808278282,0.0,200,220,240,250,270,290,310,320,380,430,440
grpc,/streaming.StreamingService/ListUserPlaylists,21740,0,200.0,177.9381588731354,1.144027999998798,439.9601310001344,1944.6570837166514,288.7020706660458,0.0,200,220,240,250,270,290,310,320,380,410,440
,Aggregated,139393,0,200.0,180.89009294442266,0.92754099978265,441.2402520001706,1304.0215075362464,1851.1061516261327,0.0,200,230,240,250,270,290,310,320,380,420,440
