Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,createMusic,196,0,8000.0,6580.469194551277,62.468779004120734,14186.328910000157,40.0,3.3117956661277033,0.0,8000,8100,8500,10000,13000,13000,14000,14000,14000,14000,14000
POST,createPlaylist,195,0,8000.0,6637.673265276773,60.596581002755556,14196.257105002587,43.0,3.2948987494637865,0.0,8000,8100,8700,10000,13000,14000,14000,14000,14000,14000,14000
POST,createUser,196,0,8000.0,6605.290989152886,47.16038500191644,14254.36501600052,39.0,3.3117956661277033,0.0,8000,8100,8500,10000,12000,13000,14000,14000,14000,14000,14000
POST,deleteMusic,162,0,8000.0,7280.628266894911,45.67155700351577,14299.950127999182,31.0,2.73730049955453,0.0,8000,8100,10000,11000,13000,14000,14000,14000,14000,14000,14000
POST,deletePlaylist,162,0,8000.0,7357.732702660281,46.14507499354659,14481.596384001023,34.0,2.73730049955453,0.0,8000,8100,10000,11000,13000,14000,14000,14000,14000,14000,14000
POST,deleteUser,156,0,8000.0,7500.4812603779465,94.171667995397,14288.627776993962,30.0,2.6359189995710293,0.0,8000,8200,10000,11000,13000,14000,14000,14000,14000,14000,14000
POST,music,1326,0,2200.0,1896.027520579823,52.06629900203552,14422.61163600051,143.8891402714932,22.405311496353747,0.0,2200,2300,2300,2300,2300,2400,6400,11000,14000,14000,14000
POST,musics,1320,0,2200.0,1906.5050772319319,60.9690999990562,14365.776167003787,6100.0,22.303929996370247,0.0,2200,2300,2300,2300,2300,2400,6400,11000,14000,14000,14000
POST,playlist,1324,0,2200.0,1900.5987331233603,54.72615199687425,14013.1452659989,77.58308157099698,22.371517663025912,0.0,2200,2300,2300,2300,2300,2400,6300,11000,14000,14000,14000
POST,playlists,1308,0,2200.0,1918.9416528470776,58.486264999373816,14331.308911001543,2752.0,22.101166996403244,0.0,2200,2300,2300,2300,2300,2400,6500,11000,14000,14000,14000
POST,updateMusic,1361,0,2200.0,1839.3606611807618,62.990251994051505,14253.97529899783,67.72593681116825,22.996703579590836,0.0,2200,2200,2200,2300,2300,2300,6400,10000,14000,14000,14000
POST,updatePlaylist,1355,0,2100.0,1845.1455003969957,60.089166996476706,14420.302462000109,68.81845018450184,22.895322079607336,0.0,2100,2200,2200,2300,2300,2300,6500,11000,14000,14000,14000
POST,updateUser,1349,0,2100.0,1855.477423174226,43.95646600460168,14436.737541000184,64.73313565604151,22.793940579623836,0.0,2100,2200,2200,2300,2300,2300,6600,11000,14000,14000,14000
POST,user,1322,0,2200.0,1901.36499292059,58.762950997333974,14366.68034199829,94.80635400907715,22.33772382969808,0.0,2200,2300,2300,2300,2300,2400,6700,11000,14000,14000,14000
POST,users,1309,0,2200.0,1917.989165021423,50.07072299486026,14107.531322006253,3860.0,22.11806391306716,0.0,2200,2300,2300,2300,2300,2400,6600,11000,14000,14000,14000
,Aggregated,13041,0,2200.0,2301.0632489576897,43.95646600460168,14481.596384001023,1336.9400352733685,220.35269021413967,0.0,2200,2300,2300,2300,2400,8000,12000,13000,14000,14000,14000
