Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,addMusicToPlaylist,613,0,77,902.8732650179372,5.090707999897859,36018.70831399992,330.0,10.206662558661423,0.0,77,96,1100,1300,2500,4400,5800,7600,36000,36000,36000
POST,createPlaylist,637,0,99,1958.3028969639054,6.387154000094597,36076.73101399996,384.72998430141286,10.606270880697107,0.0,99,1300,2100,2500,4800,7800,20000,28000,36000,36000,36000
POST,createUser,1297,1,89,1493.7667438442563,4.575113000100828,37314.80970600023,406.686198920586,21.59549973667841,0.016650346751486824,89,1100,1600,2300,3800,5600,8900,18000,36000,37000,37000
POST,getUser,2574,0,67,1359.2132943904446,3.0453989998022735,35817.01353900007,384.4149184149184,42.85799253832708,0.0,67,1100,1500,2100,3800,5400,8900,12000,36000,36000,36000
POST,listMusics,3256,0,73,1376.726114401108,6.019297999955597,37328.067305999866,10904.0,54.213529022841094,0.0,73,1100,1500,2100,3800,5600,8900,16000,33000,37000,37000
POST,listPlaylistMusics,1993,0,70,1423.5908502679376,4.261396999936551,56208.84736100015,3884.0607124937283,33.184141075713235,0.0,70,1100,1500,2100,3600,5900,11000,16000,39000,56000,56000
POST,listUserPlaylists,1933,0,72,1423.4555467175328,6.229606000033527,55209.07485299995,8880.742886704604,32.185120270624026,0.0,72,1100,1500,2100,3800,5800,10000,16000,36000,55000,55000
,Aggregated,12303,1,75,1406.8363088862884,3.0453989998022735,56208.84736100015,5069.914004714297,204.8492160835424,0.016650346751486824,75,1100,1500,2100,3800,5600,9700,16000,36000,55000,56000
