Method,Name,Error,Occurrences
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:01.074123859-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:21.219188932-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:24.322375565-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:40.610222077-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:30.159522651-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:10.695947393-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:10.845340155-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:13.47442503-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:09.332617255-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:39.467275557-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:27.62374985-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:27.061185881-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:09.145175724-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:03.220202586-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:56:53.697170995-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:36.325878886-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:26.551644937-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:18.021681675-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:56:48.36312516-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:04.377954789-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:12.541373495-03:00""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {created_time:""2026-06-08T18:57:04.181691997-03:00"", grpc_status:5, grpc_message:""music not found""}""
>",1
grpc,/streaming.StreamingService/GetMusic,"<_InactiveRpcError of RPC that terminated with:
	status = StatusCode.NOT_FOUND
	details = ""music not found""
	debug_error_string = ""UNKNOWN:Error received from peer  {grpc_message:""music not found"", grpc_status:5, created_time:""2026-06-08T18:57:07.390669465-03:00""}""
>",1
